Line	Code	Chinese	English
			
1	XIL	西塱	Xilang
1	KEK	坑口	Kengkou
1	HDW	花地湾	Huadiwan
1	FAC	芳村	Fangcun
1	HUS	黄沙	Huangsha
1	CSL	长寿路	Changshou Lu
1	CCA	陈家祠	Chen Clan Academy
1	XMK	西门口	Ximenkou
1	GYQ	公园前	Gongyuanqian
1	PMI	农讲所	Peasant Movement Institute
1	MAP	烈士陵园	Martyrs' Park
1	DSK	东山口	Dongshankou
1	YAJ	杨箕	Yangji
1	TYX	体育西路	Tiyu Xilu
1	TSC	体育中心	Tianhe Sports Center
1	GZE	广州东站	Guangzhou East Railway Station
			
2	GZS	广州南站	Guangzhou South Railway Station
2	SHB	石壁	Shibi
2	HUJ	会江	Huijiang
2	NAP	南浦	Nanpu
2	LUX	洛溪	Luoxi
2	NAZ	南洲	Nanzhou
2	DXN	东晓南	Dongxiaonan
2	JTL	江泰路	Jiangtai Lu
2	CGA	昌岗	Changgang
2	JNX	江南西	Jiangnanxi
2	SWC	市二宫	2nd Workers' Cultural Palace
2	HZS	海珠广场	Haizhu Square
2	GYQ	公园前	Gongyuanqian
2	SYM	纪念堂	Sun Yat-sen Memorial Hall
2	YXP	越秀公园	Yuexiu Park
2	GZR	广州火车站	Guangzhou Railway Station
2	SYL	三元里	Sanyuanli
2	FXP	飞翔公园	Feixiang Park
2	BYP	白云公园	Baiyun Park
2	BCS	白云文化广场	Baiyun Culture Square
2	XGA	萧岗	Xiao-gang
2	JIX	江夏	Jiangxia
2	HUB	黄边	Huangbian
2	JHW	嘉禾望岗	Jiahewanggang
			
3	PYS	番禺广场	Panyu Square
3	SHQ	市桥	Shiqiao
3	HXC	汉溪长隆	Hanxi Changlong
3	DAS	大石	Dashi
3	XIJ	厦滘	Xiajiao
3	LIJ	沥滘	Lijiao
3	DAT	大塘	Datang
3	KEC	客村	Kecun
3	CAT	广州塔	Canton Tower
3	ZNT	珠江新城	Zhujiang New Town
3	TYX	体育西路	Tiyu Xilu
3	SPQ	石牌桥	Shipaiqiao
3	GAD	岗顶	Gangding
3	SCN	华师	South China Normal University
3	WUS	五山	Wushan
3	TCT	天河客运站	Tianhe Coach Terminal
3	LHX	林和西	Linhexi
3	GZE	广州东站	Guangzhou East Railway Station
3	YAT	燕塘	Yantang
3	MHY	梅花园	Meihuayuan
3	JNH	京溪南方医院	Jingxi Nanfang Hospital
3	TOH	同和	Tonghe
3	YOT	永泰	Yongtai
3	BYB	白云大道北	Baiyundadaobei
3	JHW	嘉禾望岗	Jiahewanggang
3	LOG	龙归	Longgui
3	REH	人和	Renhe
3	GAZ	高增	Gaozeng
3	AIS	机场南	Airport S.
3	AIN	机场北	Airport N.
			
4	NPP	南沙客运港	Nansha Passenger Port
4	NAH	南横	Nanheng
4	TAK	塘坑	Tangkeng
4	DAC	大涌	Dachong
4	GUL	广隆	Guanglong
4	FSJ	飞沙角	Feishajiao
4	JIZ	金洲	Jinzhou
4	JIM	蕉门	Jiaomen
4	HUG	黄阁	Huangge
4	HAT	黄阁汽车城	Huangge Auto Town
4	QIS	庆盛	Qingsheng
4	DOC	东涌	Dongchong
4	DIC	低涌	Dichong
4	HAB	海傍	Haibang
4	SQI	石碁	Shiqi
4	GUQ	官桥	Guanqiao
4	XIZ	新造	Xinzao
4	HES	大学城南	Higher Education Mega Center S.
4	HEN	大学城北	Higher Education Mega Center N.
4	GUZ	官洲	Guanzhou
4	WSW	万胜围	Wanshengwei
4	CBN	车陂南	Chebeinan
4	CHB	车陂	Chebei
4	HUC	黄村	Huangcun
			
5	JIK	滘口	Jiaokou
5	TAW	坦尾	Tanwei
5	ZSB	中山八	Zhongshanba
5	XIC	西场	Xichang
5	XCU	西村	Xicun
5	GZR	广州火车站	Guangzhou Railway Station
5	XIB	小北	Xiaobei
5	TAJ	淘金	Taojin
5	OUZ	区庄	Ouzhuang
5	ZOO	动物园	Zoo
5	YAJ	杨箕	Yangji
5	WYC	五羊邨	Wuyangcun
5	ZNT	珠江新城	Zhujiang New Town
5	LID	猎德	Liede
5	TAC	潭村	Tancun
5	YUC	员村	Yuancun
5	KYL	科韵路	Keyun Lu
5	CBN	车陂南	Chebeinan
5	DOP	东圃	Dongpu
5	SAX	三溪	Sanxi
5	YUZ	鱼珠	Yuzhu
5	DSD	大沙地	Dashadi
5	DAD	大沙东	Dashadong
5	WEC	文冲	Wenchong
			
6	XFG	浔峰岗	Xunfenggang
6	HSH	横沙	Hengsha
6	SBE	沙贝	Shabei
6	HSA	河沙	Hesha
6	TAW	坦尾	Tanwei
6	RYF	如意坊	Ruyifang
6	HUS	黄沙	Huangsha
6	CUP	文化公园	Cultural Park
6	YDL	一德路	Yide Lu
6	HZS	海珠广场	Haizhu Square
6	BJL	北京路	Beijing Lu
6	TYS	团一大广场	Tuanyida Square
6	DOH	东湖	Donghu
6	DSK	东山口	Dongshankou
6	OUZ	区庄	Ouzhuang
6	HHG	黄花岗	Huanghuagang
6	SHD	沙河顶	Shaheding
6	SHH	沙河	Shahe
6	TPJ	天平架	Tianpingjia
6	YAT	燕塘	Yantang
6	TCT	天河客运站	Tianhe Coach Terminal
6	CBA	长湴	Changban
6	BOG	植物园	Botanical Garden
6	LOD	龙洞	Longdong
6	KML	柯木塱	Kemulang
6	GTS	高塘石	Gaotangshi
6	HBE	黄陂	Huangbei
6	JIF	金峰	Jinfeng
6	XIA	暹岗	Xiangang
6	SUY	苏元	Suyuan
6	LUG	萝岗	Luogang
6	XIX	香雪	Xiangxue
			
7	GZS	广州南站	Guangzhou South Railway Station
7	SHB	石壁	Shibi
7	XCN	谢村	Xiecun
7	ZHC	钟村	Zhongcun
7	HXC	汉溪长隆	Hanxi Changlong
7	NCW	南村万博	Nancun Wanbo
7	YUG	员岗	Yuangang
7	BAQ	板桥	Banqiao
7	HES	大学城南	Higher Education Mega Center S.
			
8	FHX	凤凰新村	Fenghuang Xincun
8	SHY	沙园	Shayuan
8	BGD	宝岗大道	Baogang Dadao
8	CGA	昌岗	Changgang
8	XIG	晓港	Xiaogang
8	SYU	中大	Sun Yat-sen University
8	LUJ	鹭江	Lujiang
8	KEC	客村	Kecun
8	CHG	赤岗	Chigang
8	MDS	磨碟沙	Modiesha
8	XGD	新港东	Xingangdong
8	PAZ	琶洲	Pazhou
8	WSW	万胜围	Wanshengwei
			
9	FEL	飞鹅岭	Fei'eling
9	HDA	花都汽车城	Huadu Autocity
9	GZN	广州北站	Guangzhou North Railway Station
9	HCL	花城路	Huachenglu
9	HGP	花果山公园	Huaguoshan Park
9	HDS	花都广场	Huadu Square
9	MSP	马鞍山公园	Ma'anshan Park
9	LIT	莲塘	Liantang
9	QIB	清㘵	Qingbu
9	QIT	清塘	Qingtang
9	GAZ	高增	Gaozeng
			
13	YUZ	鱼珠	Yuzhu
13	YFW	裕丰围	Yufengwei
13	SHG	双岗	Shuanggang
13	NGT	南海神庙	Nanhai God Temple
13	XIY	夏园	Xiayuan
13	NAG	南岗	Nangang
13	SCU	沙村	Shacun
13	BAJ	白江	Baijiang
13	XIT	新塘	Xintang
13	GUH	官湖	Guanhu
13	XIS	新沙	Xinsha
			
14	JHW	嘉禾望岗	Jiahewanggang
14	BYD	白云东平	Baiyun Dongping
14	XLI	夏良	Xialiang
14	TAH	太和	Taihe
14	ZHL	竹料	Zhuliao
14	ZLT	钟落潭	Zhongluotan
14	MAL	马沥	Mali
14	XIH	新和	Xinhe
14	TAP	太平	Taiping
14	SGA	神岗	Shengang
14	CHC	赤草	Chicao
14	CCT	从化客运站	Conghua Coach Terminal
14	DOF	东风	Dongfeng
14	HOW	红卫	Hongwei
14	XIN	新南	Xinnan
14	FEX	枫下	Fengxia
14	SGK	知识城	Sino-Singapore Guangzhou Knowledge City
14	HTX	何棠下	Hetangxia
14	WAC	旺村	Wangcun
14	TCU	汤村	Tangcun
14	ZLB	镇龙北	Zhenlongbei
14	ZLO	镇龙	Zhenlong
			
21	ZLX	镇龙西	Zhenlongxi
21	ZLO	镇龙	Zhenlong
21	ZHX	中新	Zhongxin
21	KEB	坑贝	Kengbei
21	FEG	凤岗	Fenggang
21	ZCU	朱村	Zhucun
21	SHT	山田	Shantian
21	ZHG	钟岗	Zhonggang
21	ZCS	增城广场	Zengcheng Square
			
GF	XCD	新城东	Xincheng Dong
GF	DPI	东平	Dongping
GF	SJL	世纪莲	Shijilian
GF	LAS	澜石	Lanshi
GF	KQL	魁奇路	Kuiqi Lu
GF	JHP	季华园	Jihua Park
GF	TJL	同济路	Tongji Lu
GF	ZUM	祖庙	Zumiao
GF	PJB	普君北路	Pujun Beilu
GF	CHA	朝安	Chao'an
GF	GUC	桂城	Guicheng
GF	NGL	南桂路	Nangui Lu
GF	LEG	𧒽岗	Leigang
GF	QDL	千灯湖	Qiandenghu Lake
GF	FHZ	金融高新区	Financial Hi-Tech Zone
GF	LOX	龙溪	Longxi
GF	JUS	菊树	Jushu
GF	XIL	西塱	Xilang
GF	HED	鹤洞	Hedong
GF	SHC	沙涌	Shachong
GF	SHY	沙园	Shayuan
GF	YAG	燕岗	Yangang
GF	SHX	石溪	Shixi
GF	NAZ	南洲	Nanzhou
GF	LIJ	沥滘	Lijiao
			
APM	CAT	广州塔	Canton Tower
APM	HXS	海心沙	Haixinsha
APM	GOH	大剧院	Guangzhou Opera House
APM	HCD	花城大道	Huacheng Dadao
APM	GWC	妇儿中心	Guangzhou Women and Children's Medical Center
APM	HPD	黄埔大道	Huangpu Dadao
APM	THN	天河南	Tianhenan
APM	TSS	体育中心南	Tianhe Sports Center South
APM	LHX	林和西	Linhexi
			
THZ1	CAT	广州塔	Canton Tower
THZ1	CTE	广州塔东	Canton Tower East
THZ1	LBS	猎德大桥南	Liede Bridge South
THZ1	PAP	琶醍	Party Pier
THZ1	NAF	南风	Nanfeng
THZ1	CFW	会展西	Canton Fair Complex West
THZ1	CFM	会展中	Canton Fair Complex Middle
THZ1	CFE	会展东	Canton Fair Complex East
THZ1	PBS	琶洲大桥南	Pazhou Bridge South
THZ1	PZP	琶洲塔	Pazhou Pagoda
THZ1	WSW	万胜围	Wanshengwei
